number,miner,size,timestamp,totalDifficulty,baseFeePerGas,difficulty,gasLimit,gasUsed
13692018,0x7F101fE45e6649A6fB8F3F8B43ed03D353f2B90c,35836,1637960508,35277010632165763007377,127352885036,10761067676638263,29912172,8325573
13692017,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,130676,1637960504,35276999871098086369114,118345254093,10750431769160221,29941410,24086446
13692016,0x7F101fE45e6649A6fB8F3F8B43ed03D353f2B90c,37700,1637960487,35276989120666317208893,121789937624,10750294330206749,29912200,11571976
13692015,0x829BD824B016326A401d083B33D092293333A830,132220,1637960485,35276978370371987002144,109122349275,10744910352994979,29912200,28845663
13692014,0x829BD824B016326A401d083B33D092293333A830,141304,1637960409,35276967625461634007165,97011865517,10781624168523759,29941353,29921600
13692013,0x829BD824B016326A401d083B33D092293333A830,6841,1637960407,35276956843837465483406,108741793716,10776224901005343,29970620,2053641
13692012,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,117651,1637960400,35276946067612564478063,98150020819,10770828268561363,29999915,27949614
13692011,0x829BD824B016326A401d083B33D092293333A830,19128,1637960395,35276935296784295916700,108101768230,10765434269905789,29970648,3949045
13692010,0xB7e390864a90b7b923C9f9310C6F98aafE43F707,21331,1637960392,35276924531350026010911,119764298434,10760042903753219,29999943,3314511
13692009,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,133714,1637960379,35276913771307122257692,108611505565,10759905464799747,29970676,27295516
13692008,0x4069e799Da927C06b430e247b2ee16C03e8B837d,17993,1637960368,35276903011401657457945,118604741750,10759768025846275,29941438,4879660
13692007,0xbCC817f057950b0df41206C5D7125E6225Cae18e,77147,1637960344,35276892251633631611670,114568980779,10764886879314343,29970705,19208296
13692006,0x0708F87A089a91C65d48721Aa941084648562287,21729,1637960332,35276881486746752297327,124990945598,10764749440360871,30000000,4994189
13692005,0xd757fd54b273BB1234d4d9993f27699d28d0EDD2,121373,1637960325,35276870721997311936456,117466353150,10754109940918223,29999944,22686849
13692004,0x829BD824B016326A401d083B33D092293333A830,117227,1637960285,35276859967887371018233,105028979771,10769748500745138,29970677,29181667
13692003,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,122736,1637960235,35276849198138870273095,93368246685,10790686621599474,29999972,29986737
13692002,0x5DcB78343780E1B1e578ae0590dc1e868792a435,34649,1637960229,35276838407452248673621,100876310611,10785282931214745,29970705,6062664
13692001,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,37167,1637960222,35276827622169317458876,108207070953,10779881878063001,30000000,6870298
13692000,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,114413,1637960202,35276816842287439395875,103408673260,10785010557545830,30000000,20568273
13691999,0x3EcEf08D0e2DaD803847E052249bb4F8bFf2D5bB,84531,1637960177,35276806057276881850045,100017304182,10790141742490058,29999972,19068921
13691998,0x829BD824B016326A401d083B33D092293333A830,108096,1637960161,35276795267135139359987,93338703127,10790004303536586,29970705,23563246
13691997,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,28708,1637960153,35276784477130835823401,101027240682,10784600946152376,30000000,5867567
13691996,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,120589,1637960136,35276773692529889671025,92899513354,10784463507198904,30000000,25498734
13691995,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,130508,1637960123,35276762908066382472121,82585612361,10784326068245432,29999886,29986372
13691994,0xc365c3315cF926351CcAf13fA7D19c8C4058C8E1,70135,1637960109,35276752123740314226689,81438079197,10784188629291960,29970619,16674557
13691993,0x45a36a8e118C37e4c47eF4Ab827A7C9e579E11E2,36181,1637960091,35276741339551684934729,85950347119,10789319412707974,29999914,8700150
13691992,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,121572,1637960083,35276730550232272226755,83057452213,10783916389579903,30029238,19198298
13691991,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,32827,1637960075,35276719766315882646852,89561941865,10778516003359166,29999943,6284916
13691990,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,108962,1637960060,35276708987799879287686,84517140937,10778378564405694,29970676,22141098
13691989,0x829BD824B016326A401d083B33D092293333A830,23015,1637960055,35276698209421314881992,90970843118,10772980880881480,29941438,6474233
13691988,0x7F101fE45e6649A6fB8F3F8B43ed03D353f2B90c,66768,1637960040,35276687436440434000512,90879707801,10772843441928008,29970705,15105572
13691987,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,124987,1637960028,35276676663596992072504,83794531701,10772706002974536,30000000,25146499
13691986,0xc3348B43d3881151224b490e4aa39E03d2B1cDEa,33651,1637960020,35276665890890989097968,89159187829,10767311087903924,29999972,7779663
13691985,0x829BD824B016326A401d083B33D092293333A830,18805,1637960019,35276655123579901194044,97725007415,10761918805783566,29970705,4477350
13691984,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,153362,1637960017,35276644361661095410478,86868876510,10756529155328469,30000000,29996576
13691983,0x3EcEf08D0e2DaD803847E052249bb4F8bFf2D5bB,529,1637960016,35276633605131940082009,99278716011,10751142135254268,30000000,0
13691982,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,35136,1637960009,35276622853989804827741,105251774380,10745757744277224,30000000,8189977
13691981,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,99574,1637960003,35276612108232060550517,115643484396,10740375981114224,30000000,4216814
13691980,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,75014,1637959991,35276601367856079436293,113070418332,10734996844482782,30029039,17747920
13691979,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,135202,1637959940,35276590632859234953511,100507284204,10755866958182006,29999744,29999414
13691978,0x829BD824B016326A401d083B33D092293333A830,80624,1637959920,35276579876992276771505,97526983241,10760983905901337,29970477,18648677
13691977,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,140256,1637959909,35276569116008370870168,86700436792,10760846466947865,29999772,29984536
13691976,0x3EcEf08D0e2DaD803847E052249bb4F8bFf2D5bB,21502,1637959908,35276558355161903922303,94346123408,10755457339840175,29970505,5270170
13691975,0x829BD824B016326A401d083B33D092293333A830,55406,1637959895,35276547599704564082128,95737324724,10755319900886703,29941267,13230274
13691974,0x829BD824B016326A401d083B33D092293333A830,12189,1637959888,35276536844384663195425,107097875146,10749933470980604,29970534,2268609
13691973,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,134260,1637959880,35276526094451192214821,95222167320,10744549669883635,29999829,29965723
13691972,0xEEa5B82B61424dF8020f5feDD81767f2d0D25Bfb,26446,1637959868,35276515349901522331186,103409850099,10744412230930163,29970562,5493363
13691971,0xEEa5B82B61424dF8020f5feDD81767f2d0D25Bfb,84294,1637959854,35276504605489291401023,106226939197,10744274791976691,29999857,11817599
13691970,0xB7e390864a90b7b923C9f9310C6F98aafE43F707,126076,1637959834,35276493861214499424332,94433752628,10744137353023219,30029181,30015147
13691969,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,121350,1637959760,35276483117077146401113,83941493362,10780848517400706,29999886,29999275
13691968,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,106142,1637959753,35276472336228629000407,74713675882,10775449628433351,29970619,29791883
